Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.1-37064-80-6,10.0.0.3,37064,10.0.0.1,80,6,16/12/2025 11:30:10 AM,48816,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40.970173713536546,48816.0,0.0,48816.0,48816.0,48816.0,48816.0,0.0,48816.0,48816.0,0,0,0,0,0,0,0,0,0,40,0,40.970173713536546,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37068-80-6,10.0.0.3,37068,10.0.0.1,80,6,16/12/2025 11:30:10 AM,34428,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,58.09225049378413,34428.0,0.0,34428.0,34428.0,34428.0,34428.0,0.0,34428.0,34428.0,0,0,0,0,0,0,0,0,0,40,0,58.09225049378413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37168-80-6,10.0.0.3,37168,10.0.0.1,80,6,16/12/2025 11:30:10 AM,40043,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,49.946307719201855,40043.0,0.0,40043.0,40043.0,40043.0,40043.0,0.0,40043.0,40043.0,0,0,0,0,0,0,0,0,0,40,0,49.946307719201855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37218-80-6,10.0.0.3,37218,10.0.0.1,80,6,16/12/2025 11:30:11 AM,737078,5,6,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,38.5,74.46811398175731,411.08268053041877,14.923793682622463,73707.8,171737.80264098977,557392.0,17.0,623236.0,155809.0,277440.33839007624,570824.0,1454.0,736939.0,147387.8,232509.83024100293,557392.0,1332.0,1,0,0,0,160,192,6.7835425830102105,8.140251099612252,0.0,186.0,31.250000000000004,56.624962372052515,3206.3863636363635,2,0,0,3,11,0,0,0,1.0,34.09090909090909,14.4,38.5,0,0,0,0,0,0,0,0,0,0,83,83,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37276-80-6,10.0.0.3,37276,10.0.0.1,80,6,16/12/2025 11:30:11 AM,719616,5,5,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,46.2,80.5431561338392,421.0578975453575,13.8963002490217,79957.33333333333,175179.42666377808,544860.0,50.0,633634.0,158408.5,270471.53515357827,563669.0,5378.0,714173.0,178543.25,246883.46000677458,544860.0,18794.0,0,0,0,0,160,160,6.94815012451085,6.94815012451085,0.0,186.0,27.545454545454543,57.8435193195636,3345.8727272727274,2,0,0,3,10,0,0,0,1.0,30.3,14.4,46.2,0,0,0,0,0,0,0,0,0,0,83,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37248-80-6,10.0.0.3,37248,10.0.0.1,80,6,16/12/2025 11:30:11 AM,899239,2,3,72.0,231.0,72.0,0.0,36.0,50.91168824543142,186.0,0.0,77.0,97.04122835166504,336.9515779453516,5.5602570618044815,224809.75,435244.496163842,877577.0,25.0,17730.0,17730.0,0.0,17730.0,17730.0,881484.0,440742.0,617777.981519251,877577.0,3907.0,0,0,0,0,64,96,2.2241028247217924,3.3361542370826887,0.0,186.0,50.5,72.80590635381171,5300.7,1,0,0,3,5,0,0,0,1.0,60.6,36.0,77.0,0,0,0,0,0,0,0,0,0,0,83,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37230-80-6,10.0.0.3,37230,10.0.0.1,80,6,16/12/2025 11:30:11 AM,906887,4,4,72.0,231.0,72.0,0.0,18.0,36.0,186.0,0.0,57.75,88.09228116015613,334.1099828313781,8.821385685316914,129555.28571428571,278183.9167779201,757782.0,15.0,865146.0,288382.0,459122.5733330915,817830.0,54.0,906818.0,302272.6666666667,394747.036202089,757782.0,60073.0,0,0,0,0,128,128,4.410692842658457,4.410692842658457,0.0,186.0,33.666666666666664,62.853003110432205,3950.5,1,0,0,3,8,0,0,0,1.0,37.875,18.0,57.75,0,0,0,0,0,0,0,0,0,0,83,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37282-80-6,10.0.0.3,37282,10.0.0.1,80,6,16/12/2025 11:30:11 AM,882406,2,4,72.0,231.0,72.0,0.0,36.0,50.91168824543142,186.0,0.0,57.75,88.09228116015613,343.37935145499915,6.799591117920776,176481.2,388011.6069239424,870552.0,33.0,8637.0,8637.0,0.0,8637.0,8637.0,882373.0,294124.3333333334,499217.5816879182,870552.0,1842.0,1,0,0,0,64,128,2.2665303726402586,4.533060745280517,0.0,186.0,53.57142857142857,66.95734249718782,4483.285714285715,1,0,0,3,6,0,0,0,2.0,62.5,36.0,57.75,0,0,0,0,0,0,0,0,0,0,83,83,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37260-80-6,10.0.0.3,37260,10.0.0.1,80,6,16/12/2025 11:30:11 AM,953732,4,5,72.0,231.0,72.0,0.0,18.0,36.0,186.0,0.0,46.2,80.5431561338392,317.69931175634247,9.43661322048542,119216.49999999999,269115.6811850887,780629.0,30.0,865129.0,288376.3333333333,456811.47378468217,815227.0,2635.0,953308.0,238327.0,365985.8921643474,780629.0,2243.0,1,0,0,0,128,160,4.194050320215742,5.242562900269677,0.0,186.0,37.5,60.48553546096785,3658.5,1,0,0,3,9,0,0,0,1.0,41.666666666666664,18.0,46.2,0,0,0,0,0,0,0,0,0,0,83,83,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37228-80-6,10.0.0.3,37228,10.0.0.1,80,6,16/12/2025 11:30:11 AM,1018432,4,3,72.0,186.0,72.0,0.0,18.0,36.0,186.0,0.0,62.0,107.38715006927039,253.330610192924,6.873311129265381,169738.66666666666,345995.3525119473,870247.0,14.0,1018432.0,339477.3333333334,558409.6802763481,983975.0,245.0,870426.0,435213.0,615230.982893417,870247.0,179.0,1,0,0,0,116,96,3.9276063595802175,2.9457047696851633,0.0,186.0,41.25,66.92373057657286,4478.785714285715,1,0,1,2,6,0,0,0,0.0,47.142857142857146,18.0,62.0,0,0,0,0,0,0,0,0,0,0,83,83,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
