timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1763220659,6,10.0.0.18:0-10.0.0.10:0--1,10.0.0.18,0,10.0.0.10,0,-1,-1,-1,6,694000000,0,0,0,6,588,1,8.65E-09,98,8.47E-07,0
1763220659,6,10.0.0.10:0-10.0.0.18:0--1,10.0.0.10,0,10.0.0.18,0,-1,-1,-1,6,674000000,0,0,0,7,686,1.166666667,1.04E-08,114.3333333,1.02E-06,0
1763220659,6,10.0.0.18:51386-10.0.0.1:5050--1,10.0.0.18,51386,10.0.0.1,5050,-1,-1,-1,6,600000000,0,0,0,14951,22628606,2491.833333,2.49E-05,3771434.333,0.037714343,0
1763220659,6,10.0.0.18:51386-10.0.0.1:5050--1,10.0.0.18,51386,10.0.0.1,5050,-1,-1,-1,6,600000000,0,0,0,142032,7338762960,23672,0.00023672,1223127160,12.2312716,0
1763220659,6,10.0.0.1:5050-10.0.0.18:51386--1,10.0.0.1,5050,10.0.0.18,51386,-1,-1,-1,6,567000000,0,0,0,61414,4053984,10235.66667,0.000108314,675664,0.007149884,0
1763220670,4,10.0.0.11:0-10.0.0.17:0--1,10.0.0.11,0,10.0.0.17,0,-1,-1,-1,38,179000000,0,0,0,37,3626,0.973684211,2.07E-07,95.42105263,2.03E-05,0
1763220670,4,10.0.0.17:0-10.0.0.11:0--1,10.0.0.17,0,10.0.0.11,0,-1,-1,-1,38,168000000,0,0,0,38,3724,1,2.26E-07,98,2.22E-05,0
1763220670,4,10.0.0.18:0-10.0.0.10:0--1,10.0.0.18,0,10.0.0.10,0,-1,-1,-1,17,784000000,0,0,0,18,1764,1.058823529,2.30E-08,103.7647059,2.25E-06,0
1763220670,4,10.0.0.10:0-10.0.0.18:0--1,10.0.0.10,0,10.0.0.18,0,-1,-1,-1,17,765000000,0,0,0,17,1666,1,2.22E-08,98,2.18E-06,0
1763220670,4,10.0.0.18:39128-10.0.0.1:5051--1,10.0.0.18,39128,10.0.0.1,5051,-1,-1,-1,7,644000000,0,0,0,675,1020600,96.42857143,1.05E-06,145800,0.001584783,0
1763220670,5,10.0.0.11:0-10.0.0.17:0--1,10.0.0.11,0,10.0.0.17,0,-1,-1,-1,38,175000000,0,0,0,38,3724,1,2.17E-07,98,2.13E-05,0
1763220670,5,10.0.0.17:0-10.0.0.11:0--1,10.0.0.17,0,10.0.0.11,0,-1,-1,-1,38,150000000,0,0,0,37,3626,0.973684211,2.47E-07,95.42105263,2.42E-05,0
1763220670,5,10.0.0.18:0-10.0.0.10:0--1,10.0.0.18,0,10.0.0.10,0,-1,-1,-1,17,780000000,0,0,0,18,1764,1.058823529,2.31E-08,103.7647059,2.26E-06,0
1763220670,5,10.0.0.10:0-10.0.0.18:0--1,10.0.0.10,0,10.0.0.18,0,-1,-1,-1,17,761000000,0,0,0,18,1764,1.058823529,2.37E-08,103.7647059,2.32E-06,0
1763220670,5,10.0.0.18:39128-10.0.0.1:5051--1,10.0.0.18,39128,10.0.0.1,5051,-1,-1,-1,7,640000000,0,0,0,674,1019088,96.28571429,1.05E-06,145584,0.001592325,0
1763220670,2,10.0.0.18:39128-10.0.0.1:5051--1,10.0.0.18,39128,10.0.0.1,5051,-1,-1,-1,7,619000000,0,0,0,675,1020600,96.42857143,1.09E-06,145800,0.001648788,0
1763220670,3,10.0.0.18:39128-10.0.0.1:5051--1,10.0.0.18,39128,10.0.0.1,5051,-1,-1,-1,7,632000000,0,0,0,675,1020600,96.42857143,1.07E-06,145800,0.001614873,0
1763220670,1,10.0.0.18:39128-10.0.0.1:5051--1,10.0.0.18,39128,10.0.0.1,5051,-1,-1,-1,7,620000000,0,0,0,675,1020600,96.42857143,1.09E-06,145800,0.001646129,0
1763220670,6,10.0.0.11:0-10.0.0.17:0--1,10.0.0.11,0,10.0.0.17,0,-1,-1,-1,38,179000000,0,0,0,38,3724,1,2.12E-07,98,2.08E-05,0
1763220670,6,10.0.0.17:0-10.0.0.11:0--1,10.0.0.17,0,10.0.0.11,0,-1,-1,-1,38,169000000,0,0,0,37,3626,0.973684211,2.19E-07,95.42105263,2.15E-05,0
1763220670,6,10.0.0.18:0-10.0.0.10:0--1,10.0.0.18,0,10.0.0.10,0,-1,-1,-1,17,784000000,0,0,0,17,1666,1,2.17E-08,98,2.13E-06,0
1763220670,6,10.0.0.10:0-10.0.0.18:0--1,10.0.0.10,0,10.0.0.18,0,-1,-1,-1,17,764000000,0,0,0,18,1764,1.058823529,2.36E-08,103.7647059,2.31E-06,0
1763220670,6,10.0.0.18:39128-10.0.0.1:5051--1,10.0.0.18,39128,10.0.0.1,5051,-1,-1,-1,7,645000000,0,0,0,674,1019088,96.28571429,1.04E-06,145584,0.001579981,0
1763220681,4,10.0.0.11:0-10.0.0.17:0--1,10.0.0.11,0,10.0.0.17,0,-1,-1,-1,49,264000000,0,0,0,47,4606,0.959183673,1.78E-07,94,1.74E-05,0
1763220681,4,10.0.0.17:0-10.0.0.11:0--1,10.0.0.17,0,10.0.0.11,0,-1,-1,-1,49,253000000,0,0,0,48,4704,0.979591837,1.90E-07,96,1.86E-05,0
1763220681,4,10.0.0.18:0-10.0.0.10:0--1,10.0.0.18,0,10.0.0.10,0,-1,-1,-1,28,869000000,0,0,0,28,2744,1,3.22E-08,98,3.16E-06,0
